id,Product Name,Featured Image,Status,Slug,Gallery Image,HSN Code,category,Has Variant,Marketer,Brand,Weight,Length,Width,Height,Form,Pack Of,Tags,Long Description,Short Description,Minimum Order Quantity,Linked Items,Meta Title,Meta Description,Meta Keywords,Type,OG Tag,Schema Markup,Created At
1,one,http://localhost:8000/api/public/product/images/1718433129414.jpg,true,one,http://localhost:8000/api/public/product/images/1718433129415.jpg,one,3,true,1,1,55,55,55,55,Emulsions,5,,<p>sdhvb&nbsp;&nbsp;&nbsp;&nbsp;</p>,<p>one&nbsp;</p>,4,,one,one,one,Product,one,one,2024-06-15T06:32:09.575Z
2,twO_product,http://localhost:8000/api/public/product/images/1718690216875.jpg,true,two_product,http://localhost:8000/api/public/product/images/1718690216878.jpeg,twO_product,,false,2,1,50,50,50,50,Powders for Suspension or Reconstitution,5,1,<p>twO_product<br></p>,<p>twO_product<br></p>,5,1,twO_product,twO_product,twO_product,Product,twO_product,twO_product,2024-06-18T05:56:57.132Z
3,three_product,http://localhost:8000/api/public/product/images/1718690912684.jpeg,true,three_product,,,5,false,2,1,55,55,55,55,Tablets,5,,<p>three_product</p>,<p>three_product<br></p>,55,1,three_product,three_product,three_product,Product,three_product,three_product,2024-06-18T06:08:32.866Z
4,product_one,http://localhost:8000/api/public/product/images/1718770905824.jpeg,true,product_one,http://localhost:8000/api/public/product/images/1718770905825.jpg,52,4,true,2,1,48,8546,8546,8546,Syrups,3,1,<p>one one one</p>,<p>2546</p>,857986,3,sjdnv,kjnasc,jnascs,Product,jassc,snsd dsd,2024-06-19T04:21:45.876Z
5,product_two,http://localhost:8000/api/public/product/images/1718771141801.jpg,true,product_two,http://localhost:8000/api/public/product/images/1718771141801.jpg,52,4,true,2,1,55,55,55,55,Suspensions,5,1,<p>one one</p>,<p>one one</p>,50,,one ,one,one,Product,one,one,2024-06-19T04:25:41.845Z
6,product_three,http://localhost:8000/api/public/product/images/1718771249227.jpg,true,product_three,http://localhost:8000/api/public/product/images/1718771249228.jpg,52,4,true,2,1,55,55,55,55,Suspensions,5,1,<p>one one</p>,<p>one one</p>,50,,one ,one,one,Product,one,one,2024-06-19T04:27:29.336Z
7,product_four,http://localhost:8000/api/public/product/images/1718771439898.jpg,true,product_four,http://localhost:8000/api/public/product/images/1718771439898.jpg,52,4,true,2,1,55,55,55,55,Suspensions,5,1,<p>one one</p>,<p>one one</p>,50,,one ,one,one,Product,one,one,2024-06-19T04:30:39.929Z
8,product_five,http://localhost:8000/api/public/product/images/1718771488878.jpg,true,product_five,http://localhost:8000/api/public/product/images/1718771488879.jpg,52,4,true,2,1,55,55,55,55,Suspensions,5,1,<p>one one</p>,<p>one one</p>,50,,one ,one,one,Product,one,one,2024-06-19T04:31:28.964Z
16,product_sixvvvvvvvvvvv,http://localhost:8000/api/public/product/images/1718780756289.jpg,true,product_sixvvvvvvvvvvv,,,,false,2,1,2,,,,,,,,,57,,,,,Product,,,2024-06-19T07:05:56.306Z
17,product_seven,http://localhost:8000/api/public/product/images/1718788578292.jpeg,true,product_seven,,,4,false,2,1,60,,,,,,,,,0,,,,,Product,,,2024-06-19T09:16:18.384Z
19,product_eight,http://localhost:8000/api/public/product/images/1719296623208.jpg,true,product_eight,http://localhost:8000/api/public/product/images/1719296623208.jpg,827985,5,true,6,2,55,55,55,55,Suspensions,5,2,<p>55</p>,<p>55</p>,5,7,55,55,55,Product,55,55,2024-06-25T06:23:43.265Z
20,product_nine,http://localhost:8000/api/public/product/images/1719296647774.jpg,true,product_nine,http://localhost:8000/api/public/product/images/1719296647774.jpg,827985,5,true,6,2,55,55,55,55,Suspensions,5,,<p>55</p>,<p>55</p>,5,7,55,55,55,Product,55,55,2024-06-25T06:24:07.843Z
21,nine_product,http://localhost:8000/api/public/product/images/1719297424971.jpeg,true,nine_product,,,7,true,6,5,55,,,,,,,,,1,,,,,Product,,,2024-06-25T06:37:05.035Z
22,product_ten,http://localhost:8000/api/public/product/images/1719299536816.jpeg,true,product_ten,"http://localhost:8000/api/public/product/images/1719299536818.jpeg, http://localhost:8000/api/public/product/images/1719299536818.jpeg, http://localhost:8000/api/public/product/images/1719299536819.jpeg",product_ten,"5, 4",false,13,5,55,55,55,55,Tablets,1,3,<p>four_manufacturer<br></p>,<p>four_manufacturer<br></p>,5,20,four_manufacturer,four_manufacturer,four_manufacturer,Product,four_manufacturer,four_manufacturer,2024-06-25T07:12:17.292Z
23,product_eleven,http://localhost:8000/api/public/product/images/1719299664511.jpg,true,product_eleven,http://localhost:8000/api/public/product/images/1719299664511.jpeg,product_eleven,7,false,13,5,5,5,5,5,Tablets,1,2,<p>product_eleven&nbsp;<br></p>,<p>product_eleven&nbsp;&nbsp;&nbsp;&nbsp;<br></p>,5,19,product_eleven,product_eleven,product_eleven,Product,product_eleven,product_eleven,2024-06-25T07:14:24.564Z
